2024-04-15 10:03:52 INFO  NumberClient:27 - Starting the client...
2024-04-15 10:03:53 INFO  NumberClient:39 - Sending request to server...
2024-04-15 10:03:53 INFO  NumberClient:45 - currentValue: 1
2024-04-15 10:03:53 INFO  NumberObserver:19 - number from server: 0
2024-04-15 10:03:53 INFO  NumberObserver:21 - currentValue: 1
2024-04-15 10:03:54 INFO  NumberClient:45 - currentValue: 2
2024-04-15 10:03:55 INFO  NumberClient:45 - currentValue: 3
2024-04-15 10:03:55 INFO  NumberObserver:19 - number from server: 1
2024-04-15 10:03:55 INFO  NumberObserver:21 - currentValue: 4
2024-04-15 10:03:56 INFO  NumberClient:45 - currentValue: 5
2024-04-15 10:03:57 INFO  NumberClient:45 - currentValue: 6
2024-04-15 10:03:57 INFO  NumberObserver:19 - number from server: 2
2024-04-15 10:03:57 INFO  NumberObserver:21 - currentValue: 8
2024-04-15 10:03:58 INFO  NumberClient:45 - currentValue: 9
2024-04-15 10:03:59 INFO  NumberClient:45 - currentValue: 10
2024-04-15 10:03:59 INFO  NumberObserver:19 - number from server: 3
2024-04-15 10:03:59 INFO  NumberObserver:21 - currentValue: 13
2024-04-15 10:04:00 INFO  NumberClient:45 - currentValue: 14
2024-04-15 10:04:01 INFO  NumberClient:45 - currentValue: 15
2024-04-15 10:04:01 INFO  NumberObserver:19 - number from server: 4
2024-04-15 10:04:01 INFO  NumberObserver:21 - currentValue: 19
2024-04-15 10:04:02 INFO  NumberClient:45 - currentValue: 20
2024-04-15 10:04:03 INFO  NumberClient:45 - currentValue: 21
2024-04-15 10:04:03 INFO  NumberObserver:19 - number from server: 5
2024-04-15 10:04:03 INFO  NumberObserver:21 - currentValue: 26
2024-04-15 10:04:04 INFO  NumberClient:45 - currentValue: 27
2024-04-15 10:04:05 INFO  NumberClient:45 - currentValue: 28
2024-04-15 10:04:05 INFO  NumberObserver:19 - number from server: 6
2024-04-15 10:04:05 INFO  NumberObserver:21 - currentValue: 34
2024-04-15 10:04:06 INFO  NumberClient:45 - currentValue: 35
2024-04-15 10:04:07 INFO  NumberClient:45 - currentValue: 36
2024-04-15 10:04:07 INFO  NumberObserver:19 - number from server: 7
2024-04-15 10:04:07 INFO  NumberObserver:21 - currentValue: 43
2024-04-15 10:04:08 INFO  NumberClient:45 - currentValue: 44
2024-04-15 10:04:09 INFO  NumberClient:45 - currentValue: 45
2024-04-15 10:04:09 INFO  NumberObserver:19 - number from server: 8
2024-04-15 10:04:09 INFO  NumberObserver:21 - currentValue: 53
2024-04-15 10:04:10 INFO  NumberClient:45 - currentValue: 54
2024-04-15 10:04:11 INFO  NumberClient:45 - currentValue: 55
2024-04-15 10:04:11 INFO  NumberObserver:19 - number from server: 9
2024-04-15 10:04:11 INFO  NumberObserver:21 - currentValue: 64
2024-04-15 10:04:12 INFO  NumberClient:45 - currentValue: 65
2024-04-15 10:04:13 INFO  NumberClient:45 - currentValue: 66
2024-04-15 10:04:13 INFO  NumberObserver:19 - number from server: 10
2024-04-15 10:04:13 INFO  NumberObserver:21 - currentValue: 76
2024-04-15 10:04:14 INFO  NumberClient:45 - currentValue: 77
2024-04-15 10:04:15 INFO  NumberClient:45 - currentValue: 78
